Comp,Tbreak,YS at Tbreak,Al,Cr,Mn,Fe,Co,Ni,Cu,Ta,Ti,V,Zr,Nb,Mo,Zn,W,Sn,Nd,Hf,Si,VEC,ElectDiff,Atomic Size Diff,Mixing Enthalpy,Mixing Entropy,AVG Shear Modulus,AVG Bulk Modulus,AVG Possion Ratio,Itinerate Electron,Cohesive Energy,Gamma,Local Size Mismatch,Local Shear Modulus Mismatch,Local Electronegativity Mismatch,Avg Melting Pt,VEC_log,VEC_sqrt,VEC_square,VEC_cube,VEC_exp,ElectDiff_log,ElectDiff_sqrt,ElectDiff_square,ElectDiff_cube,ElectDiff_exp,Atomic Size Diff_log,Atomic Size Diff_sqrt,Atomic Size Diff_square,Atomic Size Diff_cube,Atomic Size Diff_exp,Mixing Enthalpy_log,Mixing Enthalpy_sqrt,Mixing Enthalpy_square,Mixing Enthalpy_cube,Mixing Enthalpy_exp,Mixing Entropy_log,Mixing Entropy_sqrt,Mixing Entropy_square,Mixing Entropy_cube,Mixing Entropy_exp,AVG Shear Modulus_log,AVG Shear Modulus_sqrt,AVG Shear Modulus_square,AVG Shear Modulus_cube,AVG Shear Modulus_exp,AVG Bulk Modulus_log,AVG Bulk Modulus_sqrt,AVG Bulk Modulus_square,AVG Bulk Modulus_cube,AVG Bulk Modulus_exp,AVG Possion Ratio_log,AVG Possion Ratio_sqrt,AVG Possion Ratio_square,AVG Possion Ratio_cube,AVG Possion Ratio_exp,Itinerate Electron_log,Itinerate Electron_sqrt,Itinerate Electron_square,Itinerate Electron_cube,Itinerate Electron_exp,Cohesive Energy_log,Cohesive Energy_sqrt,Cohesive Energy_square,Cohesive Energy_cube,Cohesive Energy_exp,Gamma_log,Gamma_sqrt,Gamma_square,Gamma_cube,Gamma_exp,Local Size Mismatch_log,Local Size Mismatch_sqrt,Local Size Mismatch_square,Local Size Mismatch_cube,Local Size Mismatch_exp,Local Shear Modulus Mismatch_log,Local Shear Modulus Mismatch_sqrt,Local Shear Modulus Mismatch_square,Local Shear Modulus Mismatch_cube,Local Shear Modulus Mismatch_exp,Local Electronegativity Mismatch_log,Local Electronegativity Mismatch_sqrt,Local Electronegativity Mismatch_square,Local Electronegativity Mismatch_cube,Local Electronegativity Mismatch_exp,Avg Melting Pt_log,Avg Melting Pt_sqrt,Avg Melting Pt_square,Avg Melting Pt_cube,Assigned Point,Criteria Satisfied,Temp Range
Al0.05Cr0.5FeMn0.625Ni0.375,976.7053264,148.3901612,0.019607843,0.196078431,0.245098039,0.392156863,0,0.147058824,0,0,0,0,0,0,0,0,0,0,0,0,0,7.558823532,0.133568132,3.97419075,-3.456362936,11.55796469,84.7745098,155.4117647,0.273137255,7.558823532,7.77382353,1.167938299,0.012884516,4.069108038,-0.06195694,2055.512745,2.022715561,2.74933147,57.13581319,431.8795292,1917.588205,-2.013143579,0.365469742,0.017840446,0.002382915,1.142899131,1.379821142,1.993537246,15.79419212,62.76913222,53.20704168,1.240216862,1.859129618,11.94644475,-41.29124883,0.031544282,2.447374783,3.399700677,133.5865478,1543.988602,104606.8891,4.439994906,9.207307413,7186.717512,609250.4541,6.56E+36,5.046078141,12.4664255,24152.81661,3753631.851,3.12E+67,-1.297780845,0.522625349,0.07460396,0.020377121,1.314080597,2.022715561,2.74933147,57.13581319,431.8795292,1917.588205,2.050762132,2.78815773,60.43233228,469.7902866,2377.544544,0.155240057,1.080711941,1.36407987,1.593161123,3.215356696,-4.351728999,0.113509982,0.000166011,2.14E-06,1.012967879,1.40342382,2.017203023,16.55764022,67.37482693,58.50475529,-2.781315651,0.24891151,0.003838662,-0.000237832,0.939923359,7.628280607,45.3377629,4225132.645,8684814001,74.1950806,1,3
Al0.15Cr0.5FeMn0.625Ni0.375,798.7763775,444.6251143,0.056603774,0.188679245,0.235849057,0.377358491,0,0.141509434,0,0,0,0,0,0,0,0,0,0,0,0,0,7.386792459,0.133188037,4.536693299,-5.258098994,12.15816732,82.55660382,152.4150945,0.275283019,7.386792459,7.608396233,1.167938299,0.017662558,1.633588438,-0.061925952,2023.461322,1.999693603,2.717865423,54.56470283,403.0581354,1614.519162,-2.015993337,0.364949362,0.017739053,0.00236263,1.142464804,1.512198398,2.129951478,20.58158609,93.37234369,93.38150431,1.659769553,2.293054512,27.64760503,-145.3738442,0.00520519,2.498001151,3.486856366,147.8210326,1797.232848,190644.8058,4.413484165,9.086066466,6815.592834,562672.1974,7.14E+35,5.026607684,12.34565083,23230.36103,3540657.672,1.56E+66,-1.289955551,0.524674203,0.075780741,0.020861151,1.316903331,1.999693603,2.717865423,54.56470283,403.0581354,1614.519162,2.029252405,2.758332147,57.88769324,440.4325072,2015.043844,0.155240057,1.080711941,1.36407987,1.593161123,3.215356696,-4.036308247,0.132900557,0.000311966,5.51E-06,1.017819463,0.490779091,1.278119102,2.668611185,4.359412377,5.122222557,-2.78181593,0.248849256,0.003834824,-0.000237475,0.939952486,7.61256485,44.98290033,4094395.722,8284851380,798.7763775,1,2
Al0.214Nb0.714Ta0.571TiV0.143Zr0.929,1015.991166,763.8989629,0.059927191,0,0,0,0,0,0,0.159899188,0.280033604,0.040044805,0.260151218,0.199943993,0,0,0,0,0,0,0,4.539904784,0.106612485,5.011526399,-4.857779831,13.46236676,64.12825535,132.1898627,0.358199384,4.699803972,5.252733123,1.211212441,-0.016139909,-1.035318322,0.0081682,2376.553807,1.512906039,2.130705232,20.61073545,93.57077646,93.68187968,-2.238554654,0.326515673,0.011366222,0.001211781,1.112503059,1.611740539,2.238643875,25.11539685,125.8664743,150.1337253,1.580581509,2.204037166,23.59802489,-114.6340093,0.00776771,2.599898145,3.669109805,181.2353188,2439.856331,702476.1715,4.160885068,8.008011947,4112.433134,263723.1621,7.09E+27,4.884239243,11.49738504,17474.1598,2309906.785,2.57E+57,-1.026665509,0.598497606,0.128306799,0.045959416,1.430750861,1.5475208,2.167903128,22.08815738,103.8100098,109.9256218,1.658748536,2.291884186,27.59120526,144.9292378,191.0878219,0.191621875,1.100550972,1.467035577,1.776891743,3.357553021,-4.126460254,0.127042942,0.000260497,-4.20E-06,0.983989641,0.034708937,1.017505932,1.071884028,-1.109741173,0.355113323,-4.807506713,0.090378095,6.67E-05,5.45E-07,1.008201651,7.773406737,48.74991084,5648007.998,13422794909,2543.789092,3,3
Al0.214Nb0.714Ta0.714TiZr0.929,1435.80804,165.0917034,0.059927191,0,0,0,0,0,0,0.199943993,0.280033604,0,0.260151218,0.199943993,0,0,0,0,0,0,0,4.539904784,0.103196586,4.615444536,-4.402675276,12.62988551,67.45197416,133.7916549,0.356998039,4.739848777,5.229507136,1.130007109,-0.01565816,0.537026199,0.007478097,2431.815637,1.512906039,2.130705232,20.61073545,93.57077646,93.68187968,-2.271119508,0.321242254,0.010649535,0.001098996,1.108709344,1.529408187,2.148358568,21.30232826,98.31971459,101.0327312,1.482212373,2.098255293,19.38354959,-85.33947452,0.012244539,2.536065871,3.553855021,159.514008,2014.643658,305555.1332,4.211415851,8.212915083,4549.768818,306890.8888,1.97E+29,4.896283776,11.56683426,17900.20692,2394898.307,1.27E+58,-1.03002499,0.597493129,0.1274476,0.045498543,1.429033068,1.556005232,2.177119376,22.46616643,106.4862315,114.4168979,1.654317036,2.286811565,27.34774489,143.015227,186.7007628,0.122223924,1.063017925,1.276916066,1.442924233,3.095678507,-4.156763092,0.12513257,0.000245178,-3.84E-06,0.984463792,-0.621708398,0.732820714,0.288397138,0.154876819,1.710911379,-4.895776931,0.086475991,5.59E-05,4.18E-07,1.007506128,7.796393433,49.31344276,5913727.292,14381094503,1931.08315,2,5
Al0.24NbTiVZr,804.9476326,684.5944136,0.056603774,0,0,0,0,0,0,0,0.235849057,0.235849057,0.235849057,0.235849057,0,0,0,0,0,0,0,4.650943405,0.115472623,6.242195373,-5.989676094,12.68170538,53.12264161,130.2452833,0.365377359,4.650943405,5.481981142,1.211295897,-0.020846387,-11.49207908,0.011213955,2191.527363,1.537070082,2.156604601,21.63127456,100.6058337,104.6836981,-2.158721807,0.339812629,0.013333927,0.001539703,1.122403786,1.831331943,2.498438587,38.96500307,243.2271619,513.9856635,1.790037336,2.447381477,35.87621971,-214.8869355,0.002504475,2.540160434,3.561138214,160.8256513,2039.543528,321806.3931,3.972603233,7.288528083,2822.015052,149912.8942,1.18E+23,4.869419467,11.41250557,16963.83382,2209459.342,3.67E+56,-1.006824599,0.604464523,0.133500614,0.048778102,1.441057702,1.537070082,2.156604601,21.63127456,100.6058337,104.6836981,1.701466558,2.341363095,30.05211724,164.74514,240.3223488,0.191690776,1.100588886,1.46723775,1.777259067,3.35783324,-3.870574631,0.144382779,0.000434572,-9.06E-06,0.979369397,2.441658022,3.389996914,132.0678816,-1517.734539,1.02E-05,-4.490596294,0.105895963,0.000125753,1.41E-06,1.011277067,7.692354006,46.81375186,4802792.183,10525450487,804.9476326,1,2
Al0.25Cr0.5FeMn0.625Ni0.375,735.2674138,934.8083469,0.090909091,0.181818182,0.227272727,0.363636364,0,0.136363636,0,0,0,0,0,0,0,0,0,0,0,0,0,7.227272726,0.132683679,4.955523445,-6.793388427,12.50610904,80.5,149.6363636,0.277272727,7.227272726,7.454999999,1.167938299,0.021724174,-0.464876036,-0.061735537,1993.740909,1.977861749,2.688358742,52.23347106,377.5055407,1376.463388,-2.019787337,0.36425771,0.017604959,0.002335891,1.141888738,1.600502802,2.226100502,24.55721261,121.6938429,141.9568936,1.915949849,2.606412943,46.15012632,-313.515734,0.001121163,2.526217248,3.536397749,156.4027633,1955.990012,269981.5872,4.388257184,8.972179222,6480.25,521660.125,9.13E+34,5.008208108,12.23259431,22391.04131,3350513.999,9.69E+64,-1.282753683,0.526566925,0.076880165,0.021316773,1.319526192,1.977861749,2.688358742,52.23347106,377.5055407,1376.463388,2.008884948,2.730384588,55.57702499,414.3267212,1728.483994,0.155240057,1.080711941,1.36407987,1.593161123,3.215356696,-3.829329629,0.147391228,0.00047194,1.03E-05,1.021961862,-0.765984498,0.681818184,0.216109729,-0.100464234,0.628212976,-2.78489555,0.24846637,0.003811277,-0.000235291,0.940131484,7.597768007,44.65132595,3975002.812,7925125720,1670.075761,2,2
Al0.25Cr0.5Nb0.5TiV0.25,924.4882106,900.1611246,0.1,0.2,0,0,0,0,0,0,0.4,0.1,0,0.2,0,0,0,0,0,0,0,4.8,0.046861498,5.574919479,-10.96,12.22830167,67.9,133.6,0.336,4.8,5.693,1.181138601,-0.021855,-2.51,0.0066,2156.05,1.568615918,2.19089023,23.04,110.592,121.5104175,-3.060558879,0.216475167,0.002196,0.000102908,1.047976852,1.718277874,2.361126739,31.0797272,173.2669766,263.7283191,2.394252282,3.310589071,120.1216,-1316.532736,1.74E-05,2.503753074,3.496898865,149.5313617,1828.5146,204495.586,4.218036035,8.24014563,4610.41,313046.839,3.08E+29,4.894850261,11.55854662,17848.96,2384621.056,1.05E+58,-1.090644119,0.57965507,0.112896,0.037933056,1.399339025,1.568615918,2.19089023,23.04,110.592,121.5104175,1.73923735,2.386000838,32.410249,184.5115476,296.7826344,0.166478889,1.086802006,1.395088395,1.647792755,3.258081747,-3.823325551,0.147834367,0.000477641,-1.04E-05,0.97838209,0.920282753,1.584297952,6.3001,-15.813251,0.081268239,-5.02068563,0.081240384,4.36E-05,2.87E-07,1.006621828,7.676033123,46.43328547,4648551.603,10022509683,4525.132709,4,3
Al0.25NbTaTiZr,1677.457369,191.5144775,0.058823529,0,0,0,0,0,0,0.235294118,0.235294118,0,0.235294118,0.235294118,0,0,0,0,0,0,0,4.647058829,0.101196988,4.409958965,-3.930795807,12.70766391,72.58823539,139.5294119,0.358235294,4.882352947,5.340588242,1.130007109,-0.012501038,0.359861616,0.001522491,2513.914709,1.53623451,2.15570379,21.59515576,100.3539592,104.2778352,-2.290686285,0.31811474,0.01024083,0.001036341,1.106494586,1.483865384,2.09999023,19.44773807,85.76372686,82.26608765,1.368841901,1.982623466,15.45115568,-60.73533795,0.019628046,2.542205269,3.564781047,161.484722,2052.093574,330269.3822,4.284802862,8.519872968,5269.051917,382471.1808,3.35E+31,4.938275417,11.81225685,19468.45679,2716422.326,3.95E+60,-1.026565263,0.598527605,0.128332526,0.04597324,1.43080224,1.585627265,2.209604704,23.8373703,116.3824551,131.9407485,1.675335805,2.310971277,28.52188277,152.3236318,208.6354023,0.122223924,1.063017925,1.276916066,1.442924233,3.095678507,-4.381943598,0.111808041,0.000156276,-1.95E-06,0.987576775,-1.022035721,0.599884669,0.129500383,0.046602217,1.433131078,-6.48740747,0.039019111,2.32E-06,3.53E-09,1.001523651,7.829596462,50.13895401,6319767.164,15887355631,2252.000802,2,5
Al0.278Co0.694Cr0.222Fe0.417NiTi0.167,1103.542532,461.7494039,0.100071994,0.079913607,0,0.150107991,0.249820014,0.359971202,0,0,0.060115191,0,0,0,0,0,0,0,0,0,0,8.069114462,0.122470714,5.281985892,-13.98761688,13.30451822,72.84017272,162.285097,0.304013679,8.069114462,6.802098625,1.167661443,0.006328886,-0.0322774,-0.027052817,1976.558565,2.088043744,2.840618676,65.1106082,525.3849503,3194.271927,-2.099883347,0.34995816,0.014999076,0.001836948,1.130286018,1.664302143,2.298257142,27.89937496,147.364105,196.7602322,2.63817243,3.740002257,195.653426,-2736.725164,8.42E-07,2.588103693,3.647535911,177.0102051,2355.035498,599899.9798,4.288267626,8.534645436,5305.690762,386467.4315,4.31E+31,5.089354647,12.73911681,26336.45271,4274013.782,3.02E+70,-1.190682582,0.551374355,0.092424317,0.028098257,1.355287595,2.088043744,2.840618676,65.1106082,525.3849503,3194.271927,1.917231186,2.608083324,46.2685457,314.7232111,899.733515,0.155002982,1.080583844,1.363433245,1.592028431,3.214466629,-5.062631046,0.079554296,4.01E-05,2.54E-07,1.006348956,-3.433387984,0.179659122,0.001041831,-3.36E-05,0.968237956,-3.609964139,0.164477406,0.000731855,-1.98E-05,0.973309833,7.589112513,44.45850385,3906783.761,7721986904,2027.04134,2,4
Al0.2NbTaTiV,1117.92166,904.3926788,0.047619048,0,0,0,0,0,0,0.238095238,0.238095238,0.238095238,0,0.238095238,0,0,0,0,0,0,0,4.904761904,0.050282648,3.375797416,-3.990929734,12.56847688,74.09523808,156,0.365714286,5.142857142,5.689999999,1.096049177,0.005519274,0.657596352,-0.020181406,2542.578571,1.59020655,2.214669705,24.05668933,117.9923334,134.9307797,-2.990095232,0.224237927,0.002528345,0.000127132,1.051568278,1.216631568,1.837334323,11.39600819,38.47061501,29.24759699,1.38402422,1.997731147,15.92752014,-63.56561372,0.018482522,2.531191844,3.545204773,157.9666111,1985.399699,287355.9241,4.305351267,8.607859088,5490.104306,406790.5856,1.51E+32,5.049856007,12.489996,24336,3796416,5.62E+67,-1.00590289,0.604743157,0.133746939,0.048913166,1.441543315,1.637608789,2.267786838,26.44897958,136.0233235,171.204225,1.738710248,2.385372088,32.37609999,184.2200089,295.8936203,0.091712057,1.046923673,1.201323798,1.316709961,2.992320511,-5.199508949,0.074291817,3.05E-05,1.68E-07,1.005534533,-0.419163983,0.810923148,0.432432962,0.284366338,1.930147359,-3.902993594,0.142061276,0.000407289,-8.22E-06,0.980020876,7.84093403,50.42398805,6464705.79,16437022409,6544.277733,4,4
Al0.333Nb0.667Ta0.533TiV0.133Zr0.667,1048.15719,844.1855266,0.099909991,0,0,0,0,0,0,0.159915992,0.300030003,0.03990399,0.200120012,0.200120012,0,0,0,0,0,0,0,4.500150015,0.099735671,4.667718905,-8.609016434,13.77584496,64.08190822,131.7959796,0.358205821,4.660066007,5.208418842,1.211212441,-0.014600303,-2.677251869,0.008816813,2336.076193,1.504110733,2.121355702,20.25135016,91.13411372,90.03063623,-2.305231883,0.315809549,0.009947204,0.000992091,1.104878828,1.540670495,2.160490432,21.78759978,101.6983914,106.4546321,2.152810077,2.934112546,74.11516396,-638.0586645,0.000182453,2.622916693,3.711582541,189.7739044,2614.295884,961110.7828,4.160162081,8.005117627,4106.490961,263151.7769,6.77E+27,4.881255118,11.48024301,17370.18024,2289319.92,1.73E+57,-1.026647539,0.598502983,0.12831141,0.045961894,1.430760071,1.539029613,2.158718603,21.71621519,101.1989962,105.6430551,1.650276324,2.282196057,27.12762683,141.2920427,182.8047863,0.191621875,1.100550972,1.467035577,1.776891743,3.357553021,-4.226712997,0.120831714,0.000213169,-3.11E-06,0.985505765,0.984790846,1.636230995,7.16767757,-19.18967817,0.068751834,-4.731094812,0.093897886,7.77E-05,6.85E-07,1.008855796,7.75622796,48.33297211,5457251.98,12748556429,2736.528243,3,3
Al0.343Co0.514Cr0.514FeNi0.514,913.5523705,380.8450803,0.118890815,0.178162912,0,0.346620451,0.178162912,0.178162912,0,0,0,0,0,0,0,0,0,0,0,0,0,7.583708853,0.106682468,4.747963125,-8.519081529,12.82401567,78.90537276,160.6058929,0.287629117,7.583708853,6.959663791,1.16904452,0.019111195,-0.973359259,-0.056596481,2023.057456,2.026002375,2.753853455,57.51263997,436.1591169,1965.90672,-2.237898445,0.326622822,0.011381149,0.001214169,1.112580918,1.55771571,2.17898213,22.54315384,107.0340631,115.3490934,2.142308533,2.918746568,72.5747501,-618.270213,0.000199623,2.551319637,3.581063483,164.4553779,2108.978343,371021.6405,4.368249321,8.882869624,6226.05785,491269.4155,1.85E+34,5.078953494,12.67303803,25794.25283,4142709.008,5.63E+69,-1.246083417,0.536310653,0.082730509,0.023795703,1.333262728,2.026002375,2.753853455,57.51263997,436.1591169,1965.90672,1.940131167,2.638117471,48.43692008,337.1046789,1053.279376,0.156186766,1.081223622,1.36666509,1.597692334,3.218915559,-3.95748099,0.138243246,0.000365238,6.98E-06,1.019294983,-0.027002037,0.986589712,0.947428247,-0.922188057,0.377811737,-2.871808469,0.237900149,0.003203162,-0.000181288,0.944975308,7.612365238,44.978411,4092761.47,8279891608,190.4225402,1,3
Al0.35Cr0.5FeMn0.625Ni0.375,743.4815481,814.0080169,0.122807018,0.175438596,0.219298246,0.350877193,0,0.131578947,0,0,0,0,0,0,0,0,0,0,0,0,0,7.078947366,0.132082079,5.27858465,-8.104032024,12.72022661,78.58771926,147.0526315,0.279122807,7.078947366,7.31236842,1.167938299,0.025182248,-2.278008651,-0.061418898,1966.10614,1.95712522,2.66062913,50.11149581,354.7366413,1186.71868,-2.024331739,0.363430982,0.017445676,0.002304261,1.141201984,1.663658003,2.297517062,27.86345591,147.0796106,196.0921398,2.092361719,2.84675816,65.67533505,-532.2350184,0.000302318,2.543193373,3.566542669,161.804165,2058.185645,334444.6286,4.364215444,8.864971475,6176.029618,485360.0818,1.35E+34,4.99079056,12.12652595,21624.47643,3179936.164,7.31E+63,-1.276103426,0.528320743,0.077909541,0.02174633,1.321969681,1.95712522,2.66062913,50.11149581,354.7366413,1186.71868,1.989567219,2.704139127,53.47073191,390.9976914,1498.722594,0.155240057,1.080711941,1.36407987,1.593161123,3.215356696,-3.681615977,0.158689155,0.000634146,1.60E-05,1.025501999,0.823301663,1.509307341,5.189323414,-11.82132363,0.102488093,-2.790037706,0.247828364,0.003772281,-0.000231689,0.940429213,7.583810287,44.34079544,3865573.354,7600127505,743.4815481,1,2
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,1027.194909,721.4231984,0.06,0,0,0,0,0,0,0.16,0.28,0.04,0.26,0.2,0,0,0,0,0,0,0,4.54,0.106595309,5.010284875,-4.864,13.46310821,64.14,132.2,0.3582,4.7,5.2528,1.211212441,-0.01613212,-1.0364,0.00816,2376.67,1.512927012,2.130727575,20.6116,93.576664,93.69080012,-2.238715774,0.32648937,0.01136256,0.001211196,1.112483951,1.611492775,2.238366564,25.10295453,125.7729534,149.9474463,1.581861145,2.2054478,23.658496,-115.0749245,0.007719544,2.59995322,3.669210843,181.2552827,2440.259484,702997.2156,4.161068194,8.00874522,4113.9396,263868.0859,7.17E+27,4.884315927,11.49782588,17476.84,2310438.248,2.59E+57,-1.026663789,0.59849812,0.12830724,0.045959653,1.430751742,1.547562509,2.167948339,22.09,103.823,109.9471725,1.658761268,2.291898776,27.59190784,144.9347735,191.1006017,0.191621875,1.100550972,1.467035577,1.776891743,3.357553021,-4.126942963,0.127012283,0.000260245,-4.20E-06,0.983997306,0.03575317,1.018037327,1.07412496,-1.113223109,0.354729412,-4.80851111,0.090332718,6.66E-05,5.43E-07,1.008193384,7.773455627,48.75110255,5648560.289,13424763782,2470.041306,3,3
Al0.3NbTaTi1.4Zr1.3,1657.918462,101.8124784,0.06,0,0,0,0,0,0,0.2,0.28,0,0.26,0.2,0,0,0,0,0,0,0,4.54,0.103184495,4.614647296,-4.4096,12.63103906,67.46,133.8,0.357,4.74,5.2296,1.130007109,-0.01565212,0.5332,0.007472,2431.87,1.512927012,2.130727575,20.6116,93.576664,93.69080012,-2.271236679,0.321223435,0.01064704,0.001098609,1.108695939,1.529235439,2.148173014,21.29496967,98.26877419,100.952216,1.483783982,2.09990476,19.44457216,-85.7427854,0.012160041,2.536157202,3.554017313,159.5431477,2015.195731,305907.8097,4.21153483,8.213403679,4550.8516,307000.4489,1.98E+29,4.896346148,11.56719499,17902.44,2395346.472,1.28E+58,-1.030019497,0.59749477,0.127449,0.045499293,1.42903587,1.556037136,2.177154106,22.4676,106.496424,114.4342017,1.654334793,2.28683187,27.34871616,143.022846,186.7181013,0.122223924,1.063017925,1.276916066,1.442924233,3.095678507,-4.157148908,0.125108433,0.000244989,-3.83E-06,0.984469738,-0.628858691,0.730205451,0.28430224,0.151589954,1.7043776,-4.896592578,0.086440731,5.58E-05,4.17E-07,1.007499985,7.796415788,49.31399396,5913991.697,14382058988,50.9062392,1,5
Al0.4Hf0.6NbTaTiZr,910.1131689,1739.592047,0.08,0,0,0,0,0,0,0.2,0.2,0,0.2,0.2,0,0,0,0,0,0.12,0,4.52,0.115838508,4.701925787,-6.3296,14.4999506,70.28,134.08,0.3588,4.48,5.4128,1.129291509,-0.02173088,-0.2944,0.025376,2473.732,1.508511994,2.126029163,20.4304,92.345408,91.83559798,-2.15555823,0.340350566,0.01341856,0.001554386,1.122814532,1.547972167,2.168392443,22.10810611,103.9506742,110.1591113,1.845237043,2.515869631,40.06383616,-253.5880574,0.001782747,2.674145243,3.807880066,210.2485674,3048.593841,1982661.318,4.252487263,8.383316766,4939.2784,347132.486,3.33E+30,4.898436637,11.57929186,17977.4464,2410416.013,1.70E+58,-1.024990149,0.598999165,0.12873744,0.046190993,1.431610451,1.499623046,2.116601049,20.0704,89.915392,88.23467268,1.688766519,2.326542499,29.29840384,158.5864003,224.2586336,0.121590453,1.062681283,1.275299312,1.440184685,3.093464032,-3.829020989,0.147413975,0.000472231,-1.03E-05,0.978503534,-1.222815892,0.542586399,0.08667136,-0.025516048,0.74497844,-3.673951434,0.159298462,0.000643941,1.63E-05,1.025700711,7.81348322,49.73662634,6119350.008,15137631934,7868.481357,4,3
Al0.5CoCrCuFeNi,1321.959512,161.7380632,0.090909091,0.181818182,0,0.181818182,0.181818182,0.181818182,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,8.272727281,0.109325505,4.150455091,-1.52066116,14.69716889,74.36363644,157.818182,0.295454546,8.272727281,6.280909097,1.169103742,0.0106,4.859504142,-0.055702479,1966.150002,2.112964235,2.876234914,68.43801667,566.1690475,3915.613421,-2.213425562,0.330644076,0.011952066,0.001306666,1.1155254,1.423217989,2.037266573,17.22627746,71.49689099,63.46287511,0.419145214,1.233150907,2.312410364,-3.516392626,0.218567331,2.687654883,3.833688679,216.0067734,3174.68803,2414901.096,4.308967065,8.623435304,5529.950425,411227.2229,1.98E+32,5.061443624,12.56257068,24906.57857,3930710.95,3.46E+68,-1.219240275,0.543557307,0.087293389,0.025791229,1.34373701,2.112964235,2.876234914,68.43801667,566.1690475,3915.613421,1.837514731,2.506174195,39.44981908,247.7807276,534.2741501,0.156237423,1.081251008,1.36680356,1.597935156,3.219106196,-4.546901278,0.102956301,0.00011236,1.19E-06,1.010656379,1.580936404,2.204428303,23.61478051,114.7561237,128.9602403,-2.887730627,0.236013726,0.003102766,-0.000172832,0.945820495,7.583832596,44.34129004,3865745.83,7600636172,1807.173702,2,5
Al0.5CrNbTi2V0.5,924.8136726,899.112936,0.1,0.2,0,0,0,0,0,0,0.4,0.1,0,0.2,0,0,0,0,0,0,0,4.8,0.046861498,5.574919479,-10.96,12.22830167,67.9,133.6,0.336,4.8,5.693,1.181138601,-0.021855,-2.51,0.0066,2156.05,1.568615918,2.19089023,23.04,110.592,121.5104175,-3.060558879,0.216475167,0.002196,0.000102908,1.047976852,1.718277874,2.361126739,31.0797272,173.2669766,263.7283191,2.394252282,3.310589071,120.1216,-1316.532736,1.74E-05,2.503753074,3.496898865,149.5313617,1828.5146,204495.586,4.218036035,8.24014563,4610.41,313046.839,3.08E+29,4.894850261,11.55854662,17848.96,2384621.056,1.05E+58,-1.090644119,0.57965507,0.112896,0.037933056,1.399339025,1.568615918,2.19089023,23.04,110.592,121.5104175,1.73923735,2.386000838,32.410249,184.5115476,296.7826344,0.166478889,1.086802006,1.395088395,1.647792755,3.258081747,-3.823325551,0.147834367,0.000477641,-1.04E-05,0.97838209,0.920282753,1.584297952,6.3001,-15.813251,0.081268239,-5.02068563,0.081240384,4.36E-05,2.87E-07,1.006621828,7.676033123,46.43328547,4648551.603,10022509683,2723.039545,3,3
Al0.5Mo0.5NbTa0.5TiZr,1631.990351,345.7531321,0.111111111,0,0,0,0,0,0,0.111111111,0.222222222,0,0.222222222,0.222222222,0.111111111,0,0,0,0,0,0,4.666666662,0.229174579,5.079455055,-10.5185185,14.42584136,63.77777771,139.3333332,0.353333333,4.777777773,5.422222217,1.189637654,0.001106173,-5.382716039,-0.059506173,2367.149998,1.54044504,2.160246898,21.77777773,101.6296293,106.3426749,-1.473271212,0.478721818,0.052520988,0.012036475,1.257561564,1.625203983,2.253764641,25.80086366,131.0543273,160.6864668,2.35313737,3.243226557,110.6392314,-1163.760803,2.70E-05,2.669021137,3.798136564,208.1048989,3002.088258,1841040.318,4.155404818,7.98609903,4067.60493,259422.803,4.99E+27,4.936869143,11.80395413,19413.77774,2704986.363,3.25E+60,-1.040343381,0.594418483,0.124844444,0.044111704,1.423805666,1.563975537,2.18581284,22.82716045,109.0630998,118.839967,1.690505735,2.328566558,29.40049377,159.4160105,226.3816331,0.173648768,1.090705118,1.415237748,1.683620114,3.285890362,-6.806848969,0.033259179,1.22E-06,1.35E-09,1.001106785,1.683193087,2.320068111,28.97363196,-155.9568334,0.004595324,-2.821675224,0.243938871,0.003540985,-0.00021071,0.942229717,7.769441978,48.65336574,5603399.113,13264086199,3706.509144,3,5
Al0.5NbTa0.8Ti1.5V0.2Zr,945.1224145,1495.57119,0.1,0,0,0,0,0,0,0.16,0.3,0.04,0.2,0.2,0,0,0,0,0,0,0,4.5,0.099721412,4.667694148,-8.6176,13.77790745,64.08,131.8,0.3582,4.66,5.2082,1.211212441,-0.014599,-2.6728,0.008828,2336.05,1.504077397,2.121320344,20.25,91.125,90.0171313,-2.305374861,0.315786972,0.00994436,0.000991666,1.104863074,1.540665191,2.160484702,21.78736866,101.6967732,106.4519967,2.153806624,2.935574901,74.26302976,-639.9690853,0.000180894,2.6230664,3.711860376,189.8307337,2615.47028,963095.1098,4.160132303,8.004998438,4106.2464,263128.2693,6.75E+27,4.881285622,11.48041811,17371.24,2289529.432,1.74E+57,-1.026663789,0.59849812,0.12830724,0.045959653,1.430751742,1.539015448,2.158703314,21.7156,101.194696,105.6360822,1.650234307,2.282148111,27.12534724,141.2742335,182.7647853,0.191621875,1.100550972,1.467035577,1.776891743,3.357553021,-4.226802246,0.120826322,0.000213131,-3.11E-06,0.985507049,0.983126612,1.634870025,7.14385984,-19.09410858,0.06905859,-4.729826791,0.093957437,7.79E-05,6.88E-07,1.008867082,7.756216748,48.33270115,5457129.603,12748127608,6927.407174,4,3
